PHYSACT	GEO	UNIT	TIME	ISCED11	SEX	AGE	Value	Flag and Footnotes
Aerobic and muscle-strengthening	Iceland	Percentage	2014	All ISCED 2011 levels	Total	Total	44.8	
Aerobic and muscle-strengthening	Sweden	Percentage	2014	All ISCED 2011 levels	Total	Total	31.3	
Aerobic and muscle-strengthening	Finland	Percentage	2014	All ISCED 2011 levels	Total	Total	27.4	
Aerobic and muscle-strengthening	Denmark	Percentage	2014	All ISCED 2011 levels	Total	Total	26.6	
Aerobic and muscle-strengthening	Austria	Percentage	2014	All ISCED 2011 levels	Total	Total	25.1	
Aerobic and muscle-strengthening	Germany	Percentage	2014	All ISCED 2011 levels	Total	Total	23.9	
Aerobic and muscle-strengthening	Norway	Percentage	2014	All ISCED 2011 levels	Total	Total	21.5	
Aerobic and muscle-strengthening	Slovenia	Percentage	2014	All ISCED 2011 levels	Total	Total	19.4	
Aerobic and muscle-strengthening	Luxembourg	Percentage	2014	All ISCED 2011 levels	Total	Total	17.6	
Aerobic and muscle-strengthening	United Kingdom	Percentage	2014	All ISCED 2011 levels	Total	Total	14	
Aerobic and muscle-strengthening	Ireland	Percentage	2014	All ISCED 2011 levels	Total	Total	13.2	
Aerobic and muscle-strengthening	Hungary	Percentage	2014	All ISCED 2011 levels	Total	Total	12.2	
Aerobic and muscle-strengthening	Latvia	Percentage	2014	All ISCED 2011 levels	Total	Total	10.3	
Aerobic and muscle-strengthening	Spain	Percentage	2014	All ISCED 2011 levels	Total	Total	10.2	
Aerobic and muscle-strengthening	Slovakia	Percentage	2014	All ISCED 2011 levels	Total	Total	10.2	
Aerobic and muscle-strengthening	France	Percentage	2014	All ISCED 2011 levels	Total	Total	8.6	
Aerobic and muscle-strengthening	Czechia	Percentage	2014	All ISCED 2011 levels	Total	Total	8.1	
Aerobic and muscle-strengthening	Lithuania	Percentage	2014	All ISCED 2011 levels	Total	Total	7.9	
Aerobic and muscle-strengthening	Italy	Percentage	2014	All ISCED 2011 levels	Total	Total	7.6	
Aerobic and muscle-strengthening	Greece	Percentage	2014	All ISCED 2011 levels	Total	Total	7.3	
Aerobic and muscle-strengthening	Portugal	Percentage	2014	All ISCED 2011 levels	Total	Total	7	
Aerobic and muscle-strengthening	Estonia	Percentage	2014	All ISCED 2011 levels	Total	Total	5.6	
Aerobic and muscle-strengthening	Bulgaria	Percentage	2014	All ISCED 2011 levels	Total	Total	5.4	
Aerobic and muscle-strengthening	Cyprus	Percentage	2014	All ISCED 2011 levels	Total	Total	5.3	
Aerobic and muscle-strengthening	Malta	Percentage	2014	All ISCED 2011 levels	Total	Total	5.2	
Aerobic and muscle-strengthening	Croatia	Percentage	2014	All ISCED 2011 levels	Total	Total	4.7	
Aerobic and muscle-strengthening	Poland	Percentage	2014	All ISCED 2011 levels	Total	Total	4.2	
Aerobic and muscle-strengthening	Turkey	Percentage	2014	All ISCED 2011 levels	Total	Total	1.2	
Aerobic and muscle-strengthening	Romania	Percentage	2014	All ISCED 2011 levels	Total	Total	0.8
