Country,Life Expectancy,,,,,,,,,,,,
Hong Kong,85.29,,,,,,,,,,,,
Japan,85.03,,,,,,,,,,,,
Macao,84.68,,,,,,,,,,,,
Switzerland,84.25,,,,,,,,,,,,
Singapore,84.07,,,,,,,,,,,,
Italy,84.01,,,,,,,,,,,,
Spain,83.99,,,,,,,,,,,,
Australia,83.94,,,,,,,,,,,,
Channel Islands,83.6,,,,,,,,,,,,
Iceland,83.52,,,,,,,,,,,,
South Korea,83.5,,,,,,,,,,,,
Israel,83.49,,,,,,,,,,,,
Sweden,83.33,,,,,,,,,,,,
Martinique,83.13,,,,,,,,,,,,
France,83.13,,,,,,,,,,,,
Malta,83.06,,,,,,,,,,,,
Canada ,82.96,,,,,,,,,,,,
Norway,82.94,,,,,,,,,,,,
Ireland,82.81,,,,,,,,,,,,
New Zealand,82.8,,,,,,,,,,,,
Greece,82.8,,,,,,,,,,,,
Luxembourg,82.79,,,,,,,,,,,,
Netherlands,82.78,,,,,,,,,,,,
Guadeloupe ,82.74,,,,,,,,,,,,
Portugal,82.65,,,,,,,,,,,,
Finland,82.48,,,,,,,,,,,,
Belguim,82.17,,,,,,,,,,,,
Austria,82.05,,,,,,,,,,,,
Germany,81.88,,,,,,,,,,,,
Slovenia,81.85,,,,,,,,,,,,
United Kingdom,81.77,,,,,,,,,,,,
Reunion,81.55,,,,,,,,,,,,
